product_id,product_rating
PBXEBFGFRM5797BZ,5.0
PBXE8BTEMTBZXPKE,4.0
RTRD6FYYWFHEYJYE,4.0
RTRD4D3EGBAYBG2C,5.0
CAGE22EFFAPMZEPE,3.0
PBXE9EJKVEFQQTJH,3.5
RTRDNGVMRQ63YU54,4.0
NKCEFKBYDZMHUYZK,3.0
RTREFWYNCYFURU5G,4.3
RTRDRUZCPNJ3MTAT,3.5
CAGDTN27DEWJYUHK,4.0
RTRDPXKCBHEECZQE,3.9
NKCE5U69HB8JAUTU,1.0
RTRDETBCPG9XNHUY,3.4
NKCDTAXFXWPKGZAN,1.0
PBXEAT5YEBXXHPEW,1.0
RTRE978WCZ6B8GPW,4.0
PBXE9RAMEEYHARYC,5.0
CAGE2MACSYZCWHFG,4.0
NKCDSXA5G2KQYSAS,5.0
RTREFR77EH5G8AH4,4.4
RTREAYAG9RFZPYNP,5.0
RTRE3F95FDUDKB8Z,1.0
RTRDPFNAFVJAXHTA,4.0
RTRDMTEPFH3EVUM6,3.5
NKCE96SXZUY5TZPS,5.0
RTRE2PJPQTZHAH4H,4.6
CAGE46YZPYX7BVUK,4.4
PBXE4RB3Y3GXWPFV,5.0
CAGDY6GGGVXY9ZGS,2.2
RTRDFFYGKJAXPUUG,3.6
CAGE44J5UXNHXFYH,4.5
RTRDZ7CGNGRHHRCM,3.0
SCHE4YST3GFY8AYU,1.0
CAGE7NV6JUTZVFXV,3.0
CAGE22EEX2HKGXFQ,5.0
PBXE4QFH2BXJGRMG,4.0
RTRDYKU6F2GVR3CR,3.5
CAGE3GFTQ3UHZ4TC,3.7
LEAE8UKZFQRUTMAG,5.0
RTRDW77Y4D3QTBUG,1.0
CAGDU9C3ZBMU4CGR,1.0
RTRDNGVMAKRQKH7Y,3.7
CAGDYPBWA7RBUBYT,5.0
RTRDQZ8Z72FRMKGX,4.3
RTRECRF7ND5CVZZX,5.0
RTRDNHMRFZTR3ZPZ,4.7
RTRDZK8XRESZY5YT,4.8
RTREFDXTYEHF94PJ,4.1
PBXE4RB4BZYTMFGY,5.0
RTRD6FYY9KH3BBGZ,3.7
CAGE4GF7UWGZHN7J,4.5
RTRDNGVMW9BGYHPH,5.0
CAGDUDG8FHXXUYJS,3.0
PBXE4RB3HNFDXGGN,4.3
RTRD3849TERR75YB,4.0
RTRDNY65ZSSBBXCZ,3.7
RTRDA4U7RSHNZEGW,4.7
CAGE6HYJDNZJVADS,5.0
RTRDYYTZSUUNFFUT,2.2
CAGE5HYNQNGHJ2TY,5.0
CAGE8SCPTWXNZWC6,5.0
RTRDRJF8GJ5AFZTG,4.8
RTRDPA9FNCRGS8UZ,3.0
RTRDFFYGSSX2BYWU,3.9
NKCDYGA7HK76EBFC,5.0
NKCDSRPA8HZF94S4,4.5
RTRDHCXZPWGDJRVH,3.5
CAGDWGCSQTYKCUG7,2.6
RTRE2TYNWTGTPE8D,1.0
PBXE82KPEFNGC5CH,5.0
RTRDEHFF6AJRARJ3,3.9
NKCE8RB5WMWAWNHJ,5.0
NKCEABATK2R74GPJ,5.0
RTRDWGAKVZK8VQ9R,4.0
RTRE8GJTHFTTDZWA,5.0
RTRE2XBZFFEZRCFZ,4.1
CAGE2XC2CTC2TWRJ,5.0
NKCDYG8BDVKZ7GP8,3.2
RTRDP2GSBX4AF7FK,4.3
CAGDTN27KGFHHVHJ,3.0
RTRDXV6BA5PZAEPH,3.0
CAGE3MWEW2FZFB9P,3.8
CAGEA3JMBZUV5DQV,3.0
CAGDTFSHTF6TRBFZ,3.3
RTRD7HN3BBE7G9YT,4.3
CAGDW63HG5JBCVGA,1.0
NKCE4VA4EDK86BCN,4.9
CAGDU85YYWZHHNGT,1.0
CAGDRJJ3HUNXZPND,4.0
NKCDW898GSGZQGGY,3.0
RTRDPEUPQRZGWHGC,5.0
CAGE6SYMP5TEQVMT,3.8
RTREF3PRF3M9FMEF,3.9
RTREY9XYN7YUJTFR,4.2
RTRDMNVF7CQ3HAHU,3.6
NKCE4VA4WZWGGXUT,5.0
RTRE387ZG6JUHDHP,3.6
RTRDPEG7ATGCPYZS,4.1
CAGDU9C36EBYPDRP,2.0
RTREBWVASMXDVRNG,1.0
RTRDQZMJYG3JQ7PM,5.0
RTRDHYYVXHYG93NF,3.8
CAGDU9C3QVCBMQKQ,1.0
RTRE9JEGMXHZ5RHQ,4.2
CAGE8FG3CYVFG2GM,1.0
CAGE3FX7XZGYHGRJ,5.0
RTRD8FPJEQRZ6BEM,2.5
CAGDSGY5KU3VWEAY,3.8
PBXE7YYYF4Y48TYX,3.2
RTRD6FYYUQZJBY6F,4.1
RTRDA4U7UE3Z7UMB,3.9
PBXE4Q7YW6GNMRTE,2.0
RTRDMNVFYZZBXT3G,4.2
RTRDQ4HQC6A4ZC4G,2.5
CAGDUNH36EAX85G8,2.8
RTRDZK8XCUEKZDFZ,4.4
CSOE2V29ZTH5A3QU,1.0
RTRD8FPJQUFYZAPJ,4.2
CAGE2NCRSPGZ5XN5,3.0
NKCECFFWZVMTHUYK,5.0
RTRDGGQ754BDWH7U,4.1
RTRDVFAPZMNA8CHC,3.0
CAGE2MACSFZRQEEV,5.0
CAGE4BQXSBKGWBE3,4.0
CAGE5HYNWQYHCGQS,1.0
RTREFDXTZ4GGGAEX,3.2
ILMDZZPH32VEPGBZ,3.9
PBXE78PHMWRZDD94,3.0
RTRDG5C6V3YVWSH6,3.6
CAGE8X8XGZGQGWVN,4.0
CAGE9AGRG58XZWVT,5.0
RTREFH7UWNEQDHAY,4.2
RTRD6FYY7B26SHXC,3.6
RTRDNGVMCGNCTWUU,3.7
CAGE2ZHBSKWHSHKH,4.3
NKCE4VA4FAZ7FTFM,5.0
RTRD4KY4UNGYCZFG,4.3
CAGE22EE8ZG8HCS6,2.5
RTRD6FYYZCZGPCVH,4.4
CAGE6GQCCDSWABFT,1.0
PPJEAJTT86WKA5G9,2.3
CWLEG69T7RRKTZNR,4.0
SFFEGW39MZHHGBEF,5.0
WCKE2TFYRTHGTUTC,1.0
PRCDYWYKEKFFDGBP,3.0
PRCDXZP2ZFHQHUH7,3.0
CBRE24GEGUHRSZAQ,4.6
WBTDMEZTDSZGZEDJ,5.0
WBTDMEZTUWBPD5DM,3.5
SNDEBG864TPNPGSE,5.0
SHTEAGGFBZGZMFCF,5.0
SNDE3SNFMHARS463,1.0
SHTEB9BVH2S3XYCY,5.0
PRCEFR7WX4AFUXZN,4.0
MIXEAMVTVJAGVMCF,4.0
SOCE7732ARDEF7UF,3.0
RAQDCNWAGART9UVZ,3.0
RAQDEHGUB5VZTC8H,4.1
RAQDCNWAHJK9JNUY,3.7
WCKE2TFF4ZYGXUMH,3.0
EMLEGMZRZGDARGR8,5.0
ETHEGJBAZPGQBURA,5.0
TKSEEB9MNUGDS9DZ,2.0
